"CREATIONDATE","OBJECTDESC","TITLE","CLOSEDDATETIME","CASECLOSUREREASONDESCRIPTION"
"2025-06-15 00:00:00","1006 E MANITOBA ST, MILWAUKEE, WI, 53207-2445","Brush Pickup Request, Less than 2 Cubic Yards, April-November","",""
"2025-06-15 00:00:00","4930 W CLEVELAND AV, MILWAUKEE, WI, 53219-3233","Area Dark","",""
"2025-06-15 00:00:00","4703 W JACKSON PARK DR, MILWAUKEE, WI, 53219-3244","Area Dark","2025-06-16 00:00:00",""
"2025-06-15 00:00:00","1400 N WATER ST, 102","Street Light Cycling","","Streetlight closest to the northwest corner of Market and Knapp"
"2025-06-15 00:00:00","3684 S PINE AV, MILWAUKEE, WI, 53207-3464","Street Light Out","","Street light at intersection of Pine and Bradley Avenues is out again. This is an ongoing problem and it appears that the light is out more than it's working."
"2025-06-15 00:00:00","5640 N 27TH ST, MILWAUKEE, WI, 53209-4208","Clogged Catch Basin/Surface Flooding","","Caller reports street flooding due to water coming up through the ground.

Operator notified M5 for response."
"2025-06-15 00:00:00","5002 W EUCLID AV, MILWAUKEE, WI, 53219-4525","Potholes","","Caller reports major hole on roadway causing a severe traffic hazard."
"2025-06-15 00:00:00","2425 N 40TH ST, MILWAUKEE, WI, 53210-3016","Dead Animal","","Caller reports a large dead dog near garbage carts."
"2025-06-15 00:00:00","432 N 29TH ST, MILWAUKEE, WI, 53208-4205","Broken Branch Down - Blocking Driveway","2025-06-16 00:00:00","Caller reports two very large limbs fell off of tree going across driveway and curb."
"2025-06-15 00:00:00","6012 W PARK HILL AV, MILWAUKEE, WI, 53213-4269","Broken Branch Down - Blocking Driveway","2025-06-16 00:00:00","Caller reports large limbs fell off of tree onto drive way and curb."
"2025-06-15 00:00:00","432 N 29TH ST, MILWAUKEE, WI, 53208-4205","Garbage Cart: Missing","","Caller ask for replacement carts due to hers missing."
"2025-06-15 00:00:00","4069 N 46TH ST, MILWAUKEE, WI, 53216-1522","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Caller ask for a brush pickup."
"2025-06-15 00:00:00","2850 S LENOX ST, MILWAUKEE, WI, 53207-2212","Weeds and Tall Grass Complaint","",""
"2025-06-15 00:00:00","3804 N 75TH ST, MILWAUKEE, WI, 53216-1910","Street Light Cycling","2025-06-16 00:00:00","Light one house north, cycling, mostly off."
"2025-06-15 00:00:00","2130 E LOCUST ST, 5, MILWAUKEE, WI, 53211-3300","Street Light Out","","Several street lights out on Locust, 2 at the corner of Maryland and Locust"
"2025-06-15 00:00:00","1540 E WINDSOR PL, MILWAUKEE, WI, 53202-1043","Branches or Bushes Encroaching Sidewalk","","The thistle and thorn weeds growing is insane and hazardous"
"2025-06-15 00:00:00","1540 E WINDSOR PL, MILWAUKEE, WI, 53202-1043","Garbage Cart Not Returned to Storage Location","","Owner leaves garbage carts on sidewalk. There is no removal from sidewalk. Impedes sidewalk traffic"
"2025-06-15 00:00:00","8747 N 76TH PL","Potholes","","Driving west on brown deer rd and merging on to N 76 st going north. There is a large pothole on the ramp between"
"2025-06-15 00:00:00","2801 N 50TH ST, MILWAUKEE, WI, 53210-1654","Miscellaneous Street Maintenance Request","","Speed Bump, flattened; it needs to raised."
"2025-06-15 00:00:00","2801 N 50TH ST, MILWAUKEE, WI, 53210-1654","Clogged Catch Basin/Surface Flooding","2025-06-16 00:00:00","My sewer is full with brown leaves and sediment."
"2025-06-15 00:00:00","3066 N HUMBOLDT BL, MILWAUKEE, WI, 53212-2254","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-16 00:00:00","Branches"
"2025-06-15 00:00:00","521 E HOMER ST, MILWAUKEE, WI, 53207-1621","Brush Pickup Request, Less than 2 Cubic Yards, April-November","",""
"2025-06-15 00:00:00","6605 W BENNETT AV, MILWAUKEE, WI, 53219-4126","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-16 00:00:00","branches and brush to be picked up"
"2025-06-15 00:00:00","2919 N 78TH ST, MILWAUKEE, WI, 53222-5022","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush pick-up, thank you!"
"2025-06-15 00:00:00","2829 N HUBBARD ST, MILWAUKEE, WI, 53212-2432","Garbage Cart: New Customer","",""
"2025-06-15 00:00:00","1016 E HOWARD AV, MILWAUKEE, WI, 53207-3942","Rats or Rat Harborage","","Rats have been in the alley at night coming from this property. Likely due to dog feces. This was a problem in the past."
"2025-06-15 00:00:00","2829 N HUBBARD ST, MILWAUKEE, WI, 53212-2432","Recycling Cart: New Customer","",""
"2025-06-15 00:00:00","6101 W CONGRESS ST, MILWAUKEE, WI, 53218-5556","Potholes","","TWO LARGE POT HOLES 60-61 BETWEEN MEDFORD AV AND CONGRESS"
"2025-06-15 00:00:00","1610 S 4TH ST, MILWAUKEE, WI, 53204-2911","Roots Lifting Sidewalk","2025-06-16 00:00:00","Heaved over 12 inches"
"2025-06-15 00:00:00","2868 N 6TH ST, MILWAUKEE, WI, 53212-2334","Light Nuisance","","Always playing loud music through their vehicle between 1 and 2am in the morning. Yelling to the top of their lungs during the day."
"2025-06-15 00:00:00","3517 N 8TH ST, MILWAUKEE, WI, 53206-3301","Missed Collection: Recycling","2025-06-16 00:00:00",""
"2025-06-14 00:00:00","631 E CENTER ST, MILWAUKEE, WI, 53212-0000","Weeds and Tall Grass Complaint","","631 E Center St. lawn taller than 24 inches.

Owned by 

Mr Frank Fix
14603 W Beloit Rd
New Berlin, WI 53151"
"2025-06-14 00:00:00","3347 N 58TH ST, MILWAUKEE, WI, 53216-3125","Weeds and Tall Grass Complaint","","Overgrown lawn - north and south. Not cut to property lines"
"2025-06-14 00:00:00","4412 N 62ND ST, MILWAUKEE, WI, 53218-5544","Weeds and Tall Grass Complaint","2025-06-14 00:00:00","Person, who lived at the above address, was found deceased in his  house and grass is full of weeds."
"2025-06-14 00:00:00","2764 N 71ST ST, MILWAUKEE, WI, 53210-1155","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-16 00:00:00",""
"2025-06-14 00:00:00","5213 W TESCH AV, MILWAUKEE, WI, 53220-2622","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-16 00:00:00",""
"2025-06-14 00:00:00","2817 S KINNICKINNIC AV, MILWAUKEE, WI, 53207-2251","Graffiti","","by crosswalk near Outpost"
"2025-06-14 00:00:00","240 S 76TH ST, MILWAUKEE, WI, 53214-1543","Weeds and Tall Grass Complaint","","4-5 ft tall weeds along side the house next to apt. Buildings to the alley.  Rats have been seen and also a coyote hiding there. I have a dog and don’t want it attacked by either of the above mentioned."
"2025-06-14 00:00:00","2001 W ORCHARD ST, MILWAUKEE, WI, 53204-2621","Garbage Cart: Missing","","My garbage cart was stolen by a homeless person to use as a shopping cart. I need a replacement. I have cameras on my house and will provide evidence. To avoid confusion will also put in a request for a second cart."
"2025-06-14 00:00:00","309 S 75TH ST, MILWAUKEE, WI, 53214-1540","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-16 00:00:00","Brush at curb in front of house"
"2025-06-14 00:00:00","2001 W ORCHARD ST, MILWAUKEE, WI, 53204-2621","Garbage Cart: Additional","","I am requesting a second garbage cart. I put in a request to replace my stolen cart. This is an additional."
"2025-06-14 00:00:00","3860 S HANSON AV, MILWAUKEE, WI, 53207-4073","Scattered Litter and Debris on Private Property","","garbage stacked around home, un kept yard, 3 foot weeds, mice"
"2025-06-14 00:00:00","6336 N 102ND ST","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush cut from back of yard.
Thank You"
"2025-06-14 00:00:00","10445 W TERRA AV, MILWAUKEE, WI, 53224-2628","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush pickup on curb near electric pole"
"2025-06-14 00:00:00","612 E LINCOLN AV, MILWAUKEE, WI, 53207-1706","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-16 00:00:00",""
"2025-06-14 00:00:00","2849 W JUNEAU AV, MILWAUKEE, WI, 53208-2922","Weeds and Tall Grass Complaint","","grass tall"
"2025-06-14 00:00:00","5542 N 34TH ST, MILWAUKEE, WI, 53209-4753","Illegal Fence on Private Property","","The resident reported that her next-door neighbor has built a fence that encroaches onto her property, effectively shifting the property line further into her yard. She stated that the neighbor claims he received permission from the city to do so."
"2025-06-14 00:00:00","4950 N 24TH ST, MILWAUKEE, WI, 53209-5663","Weeds and Tall Grass Complaint","2025-06-16 00:00:00","I am not sure if the school is operating or not, but this school is in desperate need of having the bushes and grass cut."
"2025-06-14 00:00:00","2812 N 49TH ST, MILWAUKEE, WI, 53210-1651","Garbage Cart: Missing","","Garbage cart was stolen"
"2025-06-14 00:00:00","3337 N HOLTON ST, MILWAUKEE, WI, 53212-1651","Garbage Cart: Delete","","Please remove 1 extra garbage cart"
"2025-06-14 00:00:00","3134 N 16TH ST, MILWAUKEE, WI, 53206-2248","Garbage Cart: Delete","","Please remove 1 extra garbage cart"
"2025-06-14 00:00:00","609 E RUSSELL AV","Weeds and Tall Grass Complaint","","Grass needs to be cut."
"2025-06-14 00:00:00","3238 N MARIETTA AV","Street Light Out","2025-06-15 00:00:00","Street light out"
"2025-06-14 00:00:00","3820 W SHERIDAN AV, MILWAUKEE, WI, 53209-4751","Noise Nuisance From Private Industrial Facility","","mowing the lawn at 6AM on Saturday - Sunday morning."
"2025-06-14 00:00:00","4111 S HERMAN ST, MILWAUKEE, WI, 53207-5117","Miscellaneous Street Maintenance Request","","car bumper in middle of the road"
"2025-06-14 00:00:00","1312 N 6TH ST, MILWAUKEE, WI, 53212-0000","Special Services Miscellaneous","","Blood on sidewalk from shooting - intersection of 6th and McKinley"
"2025-06-14 00:00:00","6727 N 51ST ST, MILWAUKEE, WI, 53223-6036","Other Animal Problem","","Lady feeding cats in the back of her house"
"2025-06-14 00:00:00","902 W WALKER ST, 7","Potholes","","Single pothole northbound on 9th after the freeway exit"
"2025-06-14 00:00:00","3426 W CENTER ST, MILWAUKEE, WI, 53210-0000","Potholes","","deep, wide depression in the westbound lane on center Street. DANGEROUS!"
"2025-06-14 00:00:00","1610 S 4TH ST, MILWAUKEE, WI, 53204-2911","Roots Lifting Sidewalk","",""
"2025-06-13 00:00:00","11427 W FLORIST AV, MILWAUKEE, WI, 53225-2318","Potholes","","A couple of large potholes at the intersection of Florist & Lover's Lane."
"2025-06-13 00:00:00","9025 W MILL RD, MILWAUKEE, WI, 53225-0000","Dead Animal","","CAT IN ROAD"
"2025-06-13 00:00:00","1428 S 9TH ST, MILWAUKEE, WI, 53204-2833","Scattered Litter and Debris on Private Property","","SCATTERED TRASH IN THE WHOLE ALLEY PLEASE REMOVE."
"2025-06-13 00:00:00","2351 S 7TH ST, MILWAUKEE, WI, 53215-3205","Scattered Litter and Debris on Private Property","2025-06-13 00:00:00","SCATTERED TRASH AND FURNITURE BEHIND PROPERTY."
"2025-06-13 00:00:00","2565 S 9TH ST, MILWAUKEE, WI, 53215-3458","Scattered Litter and Debris on Private Property","2025-06-13 00:00:00","SCATTERED TRASH BEHIND PROPERTY."
"2025-06-13 00:00:00","9205 W BIRCH AV, 3, MILWAUKEE, WI, 53225-3442","Potholes","","1 pothole on Birch and the other pothole is when you turn north on 92nd"
"2025-06-13 00:00:00","2444 S DELAWARE AV, MILWAUKEE, WI, 53207-1942","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Bags of brush"
"2025-06-13 00:00:00","8576 W LANCASTER AV, MILWAUKEE, WI, 53225-4219","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Paper Bags of brush clippings"
"2025-06-13 00:00:00","3725 N 6TH ST, MILWAUKEE, WI, 53212-4125","Weeds and Tall Grass Complaint","","all around"
"2025-06-13 00:00:00","7863 W VAN BECK AV, MILWAUKEE, WI, 53220-2227","Missed Collection: Garbage","2025-06-13 00:00:00","MISSED COLLECTION YESTERDAY // ENTIRE BLOCK WAS MISSED"
"2025-06-13 00:00:00","2526 N 50TH ST, MILWAUKEE, WI, 53210-2849","Scattered Litter and Debris on Private Property","2025-06-13 00:00:00","litter and debris"
"2025-06-13 00:00:00","1554 N 33RD ST, MILWAUKEE, WI, 53208-2301","Garbage Cart: No Cart","","Caller states residential unit on site has no G-Cart. Requesting 1 G-Cart."
"2025-06-13 00:00:00","3869 N 15TH ST, MILWAUKEE, WI, 53206-2912","Garbage Cart: Additional","","owner, adv fee, single, req an addition g-cart"
"2025-06-13 00:00:00","3065 N 28TH ST, MILWAUKEE, WI, 53210-0000","City-Owned Vacant Lot Cleanup","","Please remove any and all garbage/debris from the property."
"2025-06-13 00:00:00","1554 N 33RD ST, MILWAUKEE, WI, 53208-2301","Recycling Cart: No Cart","","Caller states residential unit on site has no R-Cart on site. Requesting 1 R-Cart."
"2025-06-13 00:00:00","3061 N 27TH ST, MILWAUKEE, WI, 53210-0000","City-Owned Vacant Lot Cleanup","","Please remove any and all garbage/debris from the property."
"2025-06-13 00:00:00","2948 N 24TH ST, MILWAUKEE, WI, 53206-1111","Weeds and Tall Grass Complaint","","Constituent states tall grass and weeds at address"
"2025-06-13 00:00:00","1215 S 7TH ST, MILWAUKEE, WI, 53204-2331","Garbage Cart: Missing","","3 unit and one g-cart missing"
"2025-06-12 00:00:00","3113 S NEW YORK AV, MILWAUKEE, WI, 53207-3038","Missed Collection: Garbage","2025-06-13 00:00:00",""
"2025-06-12 00:00:00","917 E NORWICH ST, MILWAUKEE, WI, 53207-4552","Private Tree Problems or Questions","2025-06-12 00:00:00","I have a low hanging branch that could hit a power line if it falls. This is a tall tree (over 25 feet)."
"2025-06-12 00:00:00","319 E CLYBOURN ST","Miscellaneous Street Maintenance Request","","Northbound Milwaukee Street between St Paul & Clybourn. PLEASE repaint the lane lines. Near collisions every day because drivers can’t see the lanes."
"2025-06-12 00:00:00","3038 N BARTLETT AV, MILWAUKEE, WI, 53211-3214","Broken Branch Down - Not Blocking","2025-06-12 00:00:00","Large ash branch fell curbside."
"2025-06-12 00:00:00","3825 N 50TH ST, MILWAUKEE, WI, 53216-2301","Forestry Callback Request About Code Enforcement","2025-06-12 00:00:00","Owner would like to know who City sent to damage his tree. States was never notified. They improperly cut, didn't undercut first and ripped bark."
"2025-06-12 00:00:00","10438 W FAIRLANE AV, MILWAUKEE, WI, 53224-2649","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush pickup"
"2025-06-12 00:00:00","1003 S 25TH ST, MILWAUKEE, WI, 53204-0000","Weeds and Tall Grass Complaint","","Uncut"
"2025-06-12 00:00:00","2619 W VINE ST, MILWAUKEE, WI, 53205-1455","Bulky Pickup & San Inspector Notification","","2 mattresses, 2 dressers, a couple boxes"
"2025-06-12 00:00:00","5820 W PARK HILL AV","Potholes","","Numerous potholes on Park Hill Ave between Hawley and 60th."
"2025-06-12 00:00:00","5268 N 60TH ST, MILWAUKEE, WI, 53218-3257","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","aware of size limits"
"2025-06-12 00:00:00","2868 N 6TH ST, MILWAUKEE, WI, 53212-2334","Property Not Recorded Properly","","Non-owner occupied property not recorded."
"2025-06-12 00:00:00","3630 N 50TH ST, MILWAUKEE, WI, 53216-2931","Dead Animal","","dead squirrel in the alley, a little south of here"
"2025-06-12 00:00:00","2546 S LENOX ST, MILWAUKEE, WI, 53207-1847","Missed Collection: Recycling","2025-06-13 00:00:00",""
"2025-06-12 00:00:00","4608 N 39TH ST, MILWAUKEE, WI, 53209-5860","Garbage Cart: No Cart","","Single, no g-cart on site"
"2025-06-12 00:00:00","5847 N 39TH ST, MILWAUKEE, WI, 53209-3913","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","aware of limit"
"2025-06-12 00:00:00","2214 W AUER AV, MILWAUKEE, WI, 53206-1732","Scattered Litter and Debris on Private Property","2025-06-12 00:00:00","SCATTERED DEBRIS"
"2025-06-12 00:00:00","3475 S 20TH ST, MILWAUKEE, WI, 53215-4917","All Other Signs","","CONSTRUCTION PROJECT ON 20TH AND MORGAN NEEDS MORE DETOUR SIGNS FOR THE ENTIRE ROAD BEING BLOCKED OFF CALLERS WERE LEFT CONFUSED WHEN GOING TO THE STREET TO FIND N DETOUR SIGNS OR CONSTRUCTION"
"2025-06-12 00:00:00","6963 N 79TH CT, MILWAUKEE, WI, 53223-4905","City-Owned Vacant Lot Trees","2025-06-13 00:00:00","2-3 branches felt down from city tree from 7001 n 76th st, is behind this address felt and knock the fence of the back yard"
"2025-06-12 00:00:00","2979 N 29TH ST, MILWAUKEE, WI, 53210-2021","Scattered Litter and Debris on Private Property","2025-06-13 00:00:00","SCATTERED DEBRIS"
"2025-06-12 00:00:00","2543 N 37TH ST, MILWAUKEE, WI, 53210-3047","Scattered Litter and Debris on Private Property","","SCATTERED DEBRIS"
"2025-06-12 00:00:00","2463 N 35TH ST, MILWAUKEE, WI, 53210-3035","Scattered Litter and Debris on Private Property","","SCATTERED DEBRIS"
"2025-06-12 00:00:00","2436 N 36TH ST, MILWAUKEE, WI, 53210-3039","Scattered Litter and Debris on Private Property","","SCATTEED DEBRIS"
"2025-06-12 00:00:00","2644 N 30TH ST, MILWAUKEE, WI, 53210-0000","Scattered Litter and Debris on Private Property","","SCATTEERD DEBRIS"
"2025-06-12 00:00:00","2351 W HOPKINS ST, MILWAUKEE, WI, 53206-1750","Scattered Litter and Debris on Private Property","2025-06-13 00:00:00","SCATTERED DEBRIS"
"2025-06-12 00:00:00","3282 N DR LESTER CARTER DR, MILWAUKEE, WI, 53206-1214","Scattered Litter and Debris on Private Property","2025-06-13 00:00:00","SCATTERED DEBRIS"
"2025-06-12 00:00:00","1931 S 9TH ST, MILWAUKEE, WI, 53204-3808","Missed Collection: Recycling","","on time but not emptied, please collect"
"2025-06-12 00:00:00","3703 N 26TH ST, MILWAUKEE, WI, 53206-1337","Dead Animal","","dead dog in the alley on the lot that belongs to this address"
"2025-06-11 00:00:00","8950 N 97TH ST, MILWAUKEE, WI, 53224-0000","Mice/Roach Infestation","","HELP PLEASE IM LIVING IN A PLACE I DONT WANT TO LEAVE BUT HAVE NO CHOICE. It’s nasty it’s infected with ROACHES!! Landlord over charged for water bills. I stay in a 8 units apartment, floors cracked , rugs coming up holes in the wall water linking.  Floors uneven.. basement stairs broke when my kids father was going down stairs to the basement. HALLWAYS LIGHTS BEEN OFF OVER A MONTH LANDLORD NOT DOING ANYTHING. I don’t feel safe the main door doesn’t LOCKED. He only gave me one key when I picked up my keys when I first moved in. I asked him for keys to main door he said I didn’t need it because main door was unlocked. He switched his company name over ain’t tell his tenants so we can’t even get in contact with the number he gave listed. I believe I’m being over charged for WATER BILL.. water bills do ever 3MONTHS HE Charge us ever 2month. I have two little kids and one have bronchitis and can’t be inhaling all that smell or anything. Roaches uncontrollable. Can’t even sleep they crawling on my bed and couches. I have two small children who eats off the floor. And I don’t want them to pick up the wrong thing. I’ve have to buy roaches stuff just to keep them away & it’s not working it’s just to many."
"2025-06-11 00:00:00","3714 W FREDERICA PL, MILWAUKEE, WI, 53215-1424","Trim City Tree","","Branches too long over sidewalk"
"2025-06-11 00:00:00","3713 W FREDERICA PL, MILWAUKEE, WI, 53215-1423","Trim City Tree","","Branches too long over sidewalk"
"2025-06-11 00:00:00","6830 W GRANTOSA DR, MILWAUKEE, WI, 53218-2907","Scattered Litter and Debris on Private Property","","2 couches scattered on side of strathmore st."
"2025-06-11 00:00:00","3641 S 24TH ST, MILWAUKEE, WI, 53221-1421","Collection Schedule - Garbage and Recycling","","Verify that our house number has correct garbage bin please"
"2025-06-11 00:00:00","2411 W STATE ST, MILWAUKEE, WI, 53233-1035","Graffiti","","graffiti on wall next to building"
"2025-06-11 00:00:00","2411 W STATE ST, MILWAUKEE, WI, 53233-1035","Graffiti","","Various tags on the building"
"2025-06-11 00:00:00","1915 E NORTH AV, MILWAUKEE, WI, 53202-0000","Graffiti","2025-06-12 00:00:00","Graffiti on wall"
"2025-06-11 00:00:00","10921 W KAUL AV, MILWAUKEE, WI, 53225-1315","Brush Pickup Request, Less than 2 Cubic Yards, April-November","",""
"2025-06-11 00:00:00","3350 N NEWHALL ST, MILWAUKEE, WI, 53211-3044","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-12 00:00:00","Bagged yard debris was not picked up during our Clean and Green week."
"2025-06-11 00:00:00","3337 S 95TH ST, MILWAUKEE, WI, 53227-4326","Broken Branch Down - Not Blocking","2025-06-11 00:00:00","Large branch broke off the tree at the north end of out lot. It is blocking the sidewalk and partially the road. Under 12 inches thick, over 20 ft long. Can be driven around."
"2025-06-11 00:00:00","2708 W CENTER ST, MILWAUKEE, WI, 53210-0000","Mice/Roach Infestation","","I am single mother of 2 little girls (4 and 5) when I took the tour of the property I specifically asked the leasing manager was there any infestation she said no nothing that has been reported. We moved in may 3, 2025. On may 4 I found a roach shell, may 5 started finding mouse droppings. And keep finding them.  I’ve made so many calls and maintenance request for an exterminator but they keep sweeping the problem under the rug saying they have to get approval from the owner. How expensive an exterminator is. They don’t care about the tenants only the money. They told me “if you’re having this problem other tenants should be too” but yet I’ve found dead roaches in the hallway. So tenants are having this problem they are just killing them, going on about their day and not making reports."
"2025-06-11 00:00:00","3214 N 85TH ST, MILWAUKEE, WI, 53222-3707","Pothole in Alley","","multiple potholes in a crumbling alley. Please help"
"2025-06-11 00:00:00","12216 W LYNX AV, MILWAUKEE, WI, 53225-1039","City Tree Dying, Dead, Sick, Losing Leaves or Leaking Sap","2025-06-11 00:00:00","This tree appears to have a fungus and is losing leaves regularly."
"2025-06-11 00:00:00","2708 W CENTER ST, MILWAUKEE, WI, 53210-0000","Garage in Disrepair","","This building is disturbingly not secure. Last week a person was shot inside the building during an Attempted robbery because people who don’t live here were able to get inside the garage. Once someone gets in the garage, which isn’t hard, they can go anywhere in the building. The doors to the stairs or the elevator do not lock. Some homeless man was just sleeping in his own throw up where the mailboxes were as I was taking my daughters to the dentist on Monday. Homeless people come in this building where tenants pay rent and sleep by the mailboxes or in the stairwell for free everyday. The property manager has yet to have people come fix or even look at the garage and doors that don’t lock since the shooting."
"2025-06-11 00:00:00","811 E BAY ST, MILWAUKEE, WI, 53207-0000","Plant City Tree","","Stretch without trees along sidewalk, trees for shade could be valuable. And it would make the area look nicer. There are also several stumps just west of the space, which looked like they need to be removed and replaced with a new tree."
"2025-06-11 00:00:00","2708 W CENTER ST, MILWAUKEE, WI, 53210-0000","Defective Wiring, Outlets or Fixtures","","When I moved in they gave me a checklist to see what was and wasn’t working. I told them which outlets in my living room were not working. And they didn’t have anyone come fix it. Since it’s an electrical problem maintenance can’t fix they would have to pay someone to and they are dragging their feet. All the top outlets in my living room do not work."
"2025-06-11 00:00:00","2122 N 39TH ST, MILWAUKEE, WI, 53208-1333","Missed Collection: Garbage","","cart at the line but missed"
"2025-06-11 00:00:00","6116 W ARIZONA CT, MILWAUKEE, WI, 53219-0000","Missed Collection: Recycling","2025-06-12 00:00:00","4unit, unsure if last collect was missed"
"2025-06-11 00:00:00","3617 S LENOX ST, MILWAUKEE, WI, 53207-3452","Weeds and Tall Grass Complaint","2025-06-11 00:00:00",""
"2025-06-11 00:00:00","2604 N 1ST ST, MILWAUKEE, WI, 53212-2807","Interior of Building in Disrepair","2025-06-11 00:00:00","inspection"
"2025-06-11 00:00:00","2457 N 6TH ST, MILWAUKEE, WI, 53212-2705","Garbage Cart: Delete","","This property has 2G and 1R with address on it.  

Extra carts appeared this morning and do not belong here (3G and 1R)."
"2025-06-11 00:00:00","4265 S BURRELL ST, MILWAUKEE, WI, 53207-5003","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-12 00:00:00","Tree brush from previous storm. Pile on curb."
"2025-06-11 00:00:00","1627 S 36TH ST, MILWAUKEE, WI, 53215-1828","Missed Collection: Garbage","2025-06-12 00:00:00","Not collected as schedule today, please send a crew to collect."
"2025-06-11 00:00:00","2572 N 49TH ST, MILWAUKEE, WI, 53210-2847","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-12 00:00:00","Brush in the back ally I just moved into the residence and would like it removed please"
"2025-06-11 00:00:00","9409 W WILBUR AV","Potholes","","Recurring. Since 2015"
"2025-06-11 00:00:00","6956 W MORGAN AV, MILWAUKEE, WI, 53220-1215","Rats or Rat Harborage","","Rat presence"
"2025-06-10 00:00:00","2112 N 23RD ST, MILWAUKEE, WI, 53205-1119","Collection Schedule - Garbage and Recycling","","Yesterday was trash pick up and they did not pick up the trash yesterday. They skipped my address."
"2025-06-10 00:00:00","200 E WELLS ST, MILWAUKEE, WI, 53202-0000","Dead Animal","2025-06-11 00:00:00","There are 3 (maybe 4?) dead and decomposing seagulls on the roof of city hall that are stuck in the snow grates on the roof. I see it everyday from my desk in ZMB 8th floor and it is viewable by anyone walking by, like visitors to the floor. (see image for overflow text)"
"2025-06-10 00:00:00","3015 N 46TH ST, MILWAUKEE, WI, 53210-1729","Garbage Cart: No Cart","","single, no g-cart on site"
"2025-06-10 00:00:00","233 W ALLERTON AV, MILWAUKEE, WI, 53207-4911","Potholes","","Trip hazard"
"2025-06-10 00:00:00","1037 S 10TH ST, MILWAUKEE, WI, 53204-1340","Stop Sign","","Stop sign down at 10th and Washington"
"2025-06-10 00:00:00","3351 N 94TH ST, MILWAUKEE, WI, 53222-3520","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-06-11 00:00:00","Brush pick up at 3351 n 94th st"
